題目,答案
繼承人欲查詢被繼承人之上市櫃（興櫃）股票餘額可洽詢哪個單位辦理？,各地區國稅局及集中保管結算所
為什麼要禁止內線交易，「不」包括哪個目的？,防範公司資產遭掏空
共同比（Common-size）財務報表中會選擇一些項目作為100%，這些項目通常包括：　甲、總資產；乙、權益；丙、銷貨總額；丁、銷貨淨額,甲和丁
有價證券之交易經監視業務督導會報決議採行處置措施者，其於處置措施執行前與處置期間所發布之交易資訊日數為何?,不再納入處置日數之計算基數
創新板的英文簡稱是甚麼？,TIB
公告快易查網站(ezSearch)揭露之資訊為何?,上市(櫃)公司公告資訊
其他條件相同，交易不活絡的股票，投資人可接受的本益比：,較低
下列何者不影響營業利益率？,認列處分機器設備損失
經證交所列為處置證券，並以人工管制之撮合終端機執行撮合作業者，該撮合作業約幾分鐘撮合一次？,5分鐘
編製現金流量表時，下列哪一項交易不是投資活動？,購買三個月到期之國庫券
以發行股票償還長期負債會使負債比率：,降低
股份有限公司非經下列何者之決議，不得變更章程？,股東會
投資人張小姐欲從事融資融券交易，請問下列有關信用交易之敘述何者正確？,簽訂融資融券契約開立信用帳戶
現行法禁止內線交易之內部人，不包含下列哪一個？,檢查人
公司如果連續二年虧損，雖有健全之營業計畫書，則仍不准用下列何者方式增資？,資本公積轉增資
中央銀行的公開市場操作不會影響下列哪項？,公債發行量
依現行「證券交易法」之規定，獨立董事在任期中轉讓超過選任當時所持有之公司股份數額二分之一時，對其職務有何法律效果？,並無任何影響
禁止利用內線消息買賣之立法意旨為：,基於公平原則，求投資人之立足點平等
經營有價證券之行紀或居間業務的證券商為：,證券經紀商
下列何者為資訊安全的要素(特性)？,其他3個選項皆是
證券交易所提存之賠償準備金，得為下列何項之運用？,購買政府債券
證券商稅後盈餘所提列之特別盈餘公積，得為以下何項行為？,填補公司虧損
下列哪一項ESG資訊，屬於ESG裡的社會構面(S)?,員工薪酬
下列何者係在分析企業資產使用之效率？,銷貨收入淨額／平均資產總額
公開說明書有虛偽記載時之刑事責任為何？,一年以上七年以下有期徒刑，得併科新臺幣二千萬元以下罰金
在其他條件相同下，投資人對於下列哪一種特別股的要求報酬率較高？,可贖回特別股
證券商之交割結算基金，基金特別管理委員會得視證券商之經營風險程度為下列何種處置？,增繳交割結算基金
證券商從業人員之未成年子女於所屬證券商開戶，其帳號應為何者？,98帳戶
以下何者「不是」董事會運作良好的指標？,董事實際出席董事會之比率很低
證券商相互間發生有價證券交易之爭議時，應採行哪一種解決方式？,強制仲裁
除等價成交系統外，櫃檯買賣債券交易之價格有無漲跌限制？,無漲跌停限制
股市新手小八一時疏忽沒有在交割截止時點前將足夠款項匯入交割帳戶，導致被證券商申報違約。請問以下有關違約交割何者有誤？,小八只要在交割日當天收盤前補足價款，即可請證券商向證交所申請撤銷違約紀錄
下列上市公司之訊息何者最有可能構成「內線交易之重大消息」？,處分重大資產
證券商辦理有價證券買賣融資融券之契約書有效期限是多久?,三年
公開發行公司應將董事會之開會過程全程錄音或錄影存證，並至少保存幾年？,5年
哈特利想了解某上市公司的非擔任主管職全時員工薪資狀況，可從下列何處獲取相關資訊？,公開資訊觀測站
委託人申請開立信用帳戶所提出之財產證明所有人，不得為下列何者？,無連帶保證關係之朋友
下列何種報告書將非財務資訊與財務資訊結合？,整合性報告書
以定期定額方式投資股票及ETF有什麼樣的優點?,其他3個選項皆是
A公司內部人如知悉A上市公司明天將發布重大利多消息，下列何者為非?,明天消息在公開資訊觀測站公布後就可以買進A公司股票
"鳳林公司111年銷貨為300,000，銷貨成本為120,000，期初存貨為40,000，進貨為140,000，則銷貨毛利為何？",180000
投資者進行投資時，當可能最大報酬率與可能最低報酬率的差距越大時，表示風險：,越大
有關證券商經營受託買賣外國有價證券業務，對專業投資人規定之敘述，何者正確？,專業投資人應符合之資格條件，應由證券商盡合理調查之責任
豐華公司為出口商，若預期臺幣會貶值，在銷售價格不變下，則投資人對其每股盈餘預測：,上升
資產負債表中的流動項目，不應該包括以下哪一項？,非以再出售為目的進行購併其他公司而認列的商譽
「證券交易法」所謂之公開說明書，其應記載事項由何單位訂定之？,金融監督管理委員會
對證券商從事有關外國衍生性金融商品交易規範，下列敘述何者正確？,應向中央銀行許可或指定之國內外金融機構辦理交易
下列何者為公司使用財務槓桿有利時須滿足之條件？,舉債利率小於ROA
依現行「證券交易法」之規定，公司設置審計委員會者，其成員為何？,由全體獨立董事組成
投資者對投資風險所要求的較高報酬率稱為：,風險貼水
證券暨期貨業者之內部控制制度，至少須包含以下何者之控制作業？,其他3個選項皆是
證券經紀商之綜合交易帳戶於處置期間委託買賣該有價證券，由證券商對何者收取一定比例或全部買進價金或賣出證券,各代表人（受任人）項下委託人達標準者
國內證券市場中所稱之三大法人係指下列何者？　甲、壽險公司；乙、證券投資信託公司所經理之證券投資信託基金；丙、外資法人；丁、證券自營商；戊、勞退基金,乙、丙、丁
何者為貨幣市場證券？,三個月期的國庫券
在計算投資者投資報酬率時，若用實質報酬率法計算報酬，則其採用的觀念係為：,平減物價水準後的報酬
為促進我國普惠金融與金融科技發展，下列何者可依金融科技發展與創新實驗條例申請辦理證券業務創新實驗?,其他3個選項皆可進行申請
一般散戶自然人若欲於次級市場買進寶島債券，可於下列哪個時點透過哪個管道為之？,14:00透過證券商營業處所議價
申請上市公司之設立年限，應依公司法設立登記至少：,已滿三年以上
下列那一項不是投資ETF可能的風險?,基金經理人選股不當之風險
會員制證券交易所對會員何一種行為課以違約金，並警告或停止或限制在集中交易市場買賣有價證券？,其他3個選項皆是
大大公司將舉行股東會，某甲已採電子方式行使表決權，但重新思考後已改變對其中一項議案的看法，某甲應如何變更其意思表示?,股東會開會2日前以原行使方式撤銷先前意思表示
有關新興科技之說明，下列何者正確？,對於社群媒體，應建立帳號權限管理機制，對發布內容進行控管與監視，並針對不適當言論及異常事件，進行通報或處置
ETN與ETF有何不同之處？,發行人
根據CAPM模式，一個公平定價的證券之貝它（Beta）係數：,其他3個選項皆有可能
當公司處於產業生命週期的初期，具有何項特質？,低股利發放率
公司債之發行，如由下列何者擔任保證人者，得視為有擔保之發行？,金融機構
請問在技術分析K線指的上影線最上端之股價價格為：,最高價
證券商經營期貨交易輔助業務者，於從事業務對客戶所生之損害，與委任期貨商負何責任？,連帶賠償責任
投資人申請查詢於各證券商開戶明細或證券交易資料，可查詢資料範圍包括：,其他3個選項皆是
在上升趨勢中，K線圖上出現高價跳空型態（High-price Gapping Play），即向上跳空缺口的陽線，表示行情可能：,繼續上漲
對非特定人為公開收購公開發行公司之有價證券者，應經何機關申報？,金融監督管理委員會
櫃檯買賣證券經紀商因執行受託買賣發生錯誤，須為買回、轉賣者，應如何處理?,於發生錯誤當日或次一營業日以錯帳處理專戶為之
下列何者為資本支出？,購入土地支付代書費
普通股股票須上市滿多久才可由證券交易所公告得為融資融券交易股票？,6個月
Z銀行為一家上市公司，甲、乙、丙3人因金融專業能力卓越在業界頗有聲譽而獲邀被選任為Z銀行的獨立董事，並由其3人組成審計委員會。下列敘述何者正確？,若審計委員會就內部控制制度有效性之考核事項為決議時，應有審計委員會全體成員二分之一以上之同意，始為有效之決議
權證流動量提供者之券商於下列何種時機仍需報價？,標的證券股價波動過大
下列哪種產業較不屬於利率敏感產業？,食品業
一般公司經常性的法律顧問費用是：,管理費用
下列何者非為創新板上市公司股票之處置方式？,分盤交易
下列何者「非」機構投資人進行盡職治理行為之資產類別?,其他3個選項皆是
何者不屬於衍生性金融工具？,公司債
6月8日投資人甲信用帳上有融資A、B、C股票，個筆擔保維持率分別為125%、128%、132%，整戶擔保維持率為128%，當日證券商郵寄發出A及B之追繳通知，假設次日送達，每日皆是營業日，6月10日期限到時，客戶未補繳，但是整戶擔保維持率提升至132%，請問6月11日早上應處分之股票？,不應處分
有關盤後定價交易之時間，下列何者正確？,14:00～14:30
在間接法下折舊是加在稅前淨利上，以計算來自何種活動之現金流量？,營業
無風險資產的貝它（Beta）係數為：,0
證券商相互間所生爭議應採仲裁程序，則下列選定仲裁人之程序何者正確？,當事人事先以書面約定
衡量資產運用效率的指標為：,銷貨收入÷營運資金
盤中零股交易預計於113年12月2日縮短撮合間隔時間至幾秒鐘?,5秒鐘
下列有關仲裁判斷之敘述何者錯誤？,法院確定判決的效力優先於仲裁判斷書之效力
客戶請求將其帳戶之有價證券餘額轉帳至設於他參加人帳戶時，應向哪一機構提出申請？,參加人
證券集中交易市場撮合成交時，買賣申報之優先順序原則為：,較高買進申報優先於較低買進申報
櫃檯買賣證券經紀商接受客戶以電話委託者，應同步錄音，對無爭議之電話錄音應至少保存多久期限？,一年
道氏理論雖然對股市長期市場變動指明了方向，但不能指示下列何者？,應購買何種股票
下列何者不是普通股的特性？,有優先清償權
小張想買權證，他問營業員權證可連結之標的有哪些，結果營業員說錯了哪項？,興櫃公司股票
依「證券交易法」之規定，得請求懲罰性民事賠償的是：,內線交易行為
竭盡缺口（Exhaustion Gap）通常出現在一波行情（無論上漲或下跌）的：,尾聲
公開發行公司之財務報告應經特定人士簽名或蓋章並出具財務報告內容無虛偽或隱匿之聲明，以下何人不是此指之特定人士？,監察人
經評估客戶單日買賣額度達新台幣多少元以上者，證券商應請其出具或提示相關資力證明文件憑核，並留存影本或抄錄相關資料備查？,500萬元
採集合競價期間，可用何種方式下單?,限價且當日有效
目前可上傳之Ixbrl檔案格式為何,HTML
甲公司將出售長期投資之收入記為營業收入，為：,盈餘操縱
下列何者為效率市場的定義？,市場能夠迅速正確反應所有攸關資訊，所有投資者將無法利用任何資訊賺取超額的報酬
有關系統開發及維護之規定，下列敘述何者正確？,應使用具有合法版權之軟體
可用於支付利息之盈餘係指企業之：,稅前淨利加利息費用
有關賣出股票所需繳交之證券交易稅敘述，以下何者正確？,賣出時以賣價計算
下列關於V形反轉（V Reversal）的敘述何者不正確？,趨勢的變動是緩慢而漸進的
在何處查詢投資理財節目異常推介個股？,臺灣證券交易所網站首頁>市場公告>投資理財節目異常推介個股
下列何者係影響財務報告品質的因素？　甲、管理階層對於會計方法之選擇　乙、會計的各種規範　丙、審計人員的教育程度　丁、會計估計發生之誤差,甲、乙、丁
於集中交易市場買賣在我國上市之外國股票使用之貨幣，以何者為準？,外國發行人向證交所申請上市之幣別
小張問一般投資人買賣權證與買賣股票之不同處，下列哪項是錯誤的？,另行開立不同帳戶
某公司債券已在櫃檯買賣，如其再發行債券時，應於開始櫃檯買賣日之前幾個營業日內，檢具櫃檯買賣申報書及有關書件，向證券櫃買中心申報？,五個營業日
得為融資融券交易之上櫃股票，其股價波動過度劇烈者，證券櫃檯買賣中心得為如何之處置？,其他3個選項皆是
投資人曾因證券交易違約，未結案者，須滿幾年始得再行開戶買賣？,5年
證券商為自行辦理有價證券買賣融資融券業務，何者為非？,須與證金公司簽訂融資融券之代理契約
現金流量為固定支出之倍數的計算公式為何？,（營業活動現金流量+所得稅支付數+利息支付數）÷固定支出
證券金融事業違背對證券集中交易市場之交割義務時，如何處理？,由證交所專案報請金融監督管理委員會處理
發行公司為變更公司名稱召開股東臨時會，已融券者應於幾個營業日內進行回補?,不須還券回補
一般所稱的債券殖利率是指下列何者？,到期收益率
財務彈性是指：,企業運用其財務資源以因應環境變動的能力
一般而言，投資人在選擇投資計畫時：,報酬率最低的計畫通常風險程度最低
以下哪一項沒有美化盈餘的效果？,應收帳款讓售（Factoring）
依「證券交易法」規定，受罰金以上刑之宣告者，其執行完畢、緩刑期滿或赦免未滿幾年者，不得充任證券商之董事、監察人或經理人？,3年
所得稅費用應列為：,本期稅前淨利之減項
下列有關「技術分析」的敘述中，何者為錯誤？,如果股價報酬率為「隨機漫步」，使用技術分析才有意義
內線交易情節重大者，法院得依善意從事相反買賣之人之請求，將內線交易賠償額提高以茲懲罰，所謂「善意」意指？,不知內部重大影響股票價格之消息者
一般而言，風險愛好者所投資之投資組合，其貝它（Beta）係數為：,大於1
公開發行公司停止辦理股票過戶之時點為何？,其他3個選項皆是
有關「公開收購」，下列敘述何者正確?,收購之有價證券限於公開發行公司所發行之有價證券
比較下列上市與上櫃股權分散之審查條件，何者敘述正確？,"上市上櫃皆有股權分散要求，前者係記名股東在1,000人以上"
下列何者非為證券交易法所稱之有價證券?,商業本票
下列何者較不受中央銀行公開市場操作的影響？,貨幣流通速度
貨幣供給中，M2與M1的組成成份差異為以下何者為是？,定期存款
當公司舉債過多時，公司營運會面臨較大的風險，以致投資報酬產生不確定性，此類風險稱之為：,財務風險
有關不動產、廠房及設備使用期間支出之處理，下列敘述何者正確？,其他3個選項皆正確
何者為會計師對公開發行公司年度財務報告之查核意見，無須載明其理由？,無保留意見
下列何者較不適合作為分析經營效率的指標？,銷貨毛利率
證券商財務報告之電子書可於下列哪個網站查詢及下載？,公開資訊觀測站
就上市公司對子公司內部控制之監督與管理，下列敘述何者錯誤？,上市公司稽核人員得兼任其子公司稽核人員
某營業員接到客戶鉅額買進委託，要以參考基準價格下兩檔買進某電子股500張，若參考基準價格為50元，請問營業員應填寫之委託報價為：,49.98元
投資人從報紙看到政府將進行重大公共政策，因此大量買進營建類股，這種行為？,不違法
下列何項作法可增加流動比率(假設目前為1.3)？,以發行長期負債所得金額償還短期負債
國內現行當日沖銷交易之股票課徵稅率為?,1.5‰
不限用途款項借貸有關擔保品融通之計算標準，何者為錯？,地方政府公債，按其面額40% 計算
"若漢本公司的速動資產為10,000，流動負債為20,000，現有一筆交易使存貨及應付帳款各增加$5,000，則其速動比率應為何？",0.4
申請股票上市之投資控股公司，應符合下列哪些要件？,其他3個選項皆是
證券集中保管事業保管有價證券之方式為何？,混合寄託之保管
設某上櫃股票之每股市價為三十元，其申報買賣之最低成交單位為何？,五分
在K線型態中，長黑之後收十字線的孕育十字線（Harami Cross）可視為：,底部訊號
證券商相互間有價證券交易之爭議，一造當事人未依法進行仲裁而提起訴訟時，應如何處理？,法院應依他造之請求駁回其訴
證券商的營業櫃台下列何人不得進出？,客戶
上市公司總經理知悉公司的重大利多消息，等消息一公開，就馬上買入自家公司股票。這種行為？,涉及內線交易
財務報表係假設公司繼續經營，故應按何基礎入帳？,取得成本
下列何者為鉅額逐筆交易之交易時段？,9:00~17:00
有關證券交易爭議之仲裁，下列敘述何者正確？,其他3個選項皆正確
